17 6
16 5 0
0 5 3
0 0 2
16 0 1
8 5 0
7 5 0
2 0 2
12 5 0
3 0 2
12 0 2
0 3 3
14 0 2
16 1 1
9 0 2
8 0 2
14 5 0
0 4 3
2 5 0
5 5 0
7 0 2
16 4 1
4 5 0
11 0 2
0 2 3
4 0 2
3 5 0
16 3 1
10 5 0
15 0 2
16 2 1
13 0 2
6 5 0
0 1 3
9 5 0
6 0 2
1 0 2
13 5 0
11 5 0
5 0 2
15 5 0
10 0 2
1 5 0
14 2 3
12 3 2
2 4 3
9 3 0
10 3 2
2 2 0
12 2 0
13 2 1
13 4 2
10 2 0
15 3 2
14 3 2
15 2 0
13 3 0
7 2 2
9 4 2
8 1 2
1 4 1
7 1 0
14 4 0
3 4 0
11 1 1
2 3 2
12 1 3
8 2 1
4 2 1
10 4 3
11 3 1
4 1 3
3 2 1
8 4 0
3 1 1
3 3 3
9 2 3
5 2 3
7 4 0
8 3 0
11 4 2
11 2 0
2 1 2
5 4 0
7 3 2
4 3 2
13 1 3
6 1 2
6 2 2
12 4 1
15 1 2
9 1 0
5 1 1
6 4 2
10 1 3
6 3 0
1 1 2
5 3 3
15 4 1
1 3 2
14 1 1
4 4 1
1 2 0
